,temp_mean,rain_mean
9.46771E+11,26.83333333,8.3125
9.46858E+11,26.83333333,3.2875
9.46944E+11,27.33333333,0.620833333
9.4703E+11,24.875,52.775
9.47117E+11,24.9,2.179166667
9.47203E+11,26.025,0.191666667
9.4729E+11,27.525,0
9.47376E+11,27.025,2.2125
9.47462E+11,25.05,6.0375
9.47549E+11,25.85,3.2375
9.47635E+11,26.15,37.75416667
9.47722E+11,24.65,1.1625
9.47808E+11,26.55,0.529166667
9.47894E+11,26.7,0.033333333
9.47981E+11,25.875,33.32916667
9.48067E+11,24.85,47.875
9.48154E+11,25.7,4.425
9.4824E+11,26.4,1.5625
9.48326E+11,26.825,0.0125
9.48413E+11,26.15,0
9.48499E+11,26.36666667,0.495833333
9.48586E+11,26.86666667,0.0375
9.48672E+11,25.975,7.3875
9.48758E+11,24.65,54.07083333
9.48845E+11,25.725,0.2125
9.48931E+11,26.675,0.395833333
9.49018E+11,26.05,1.470833333
9.49104E+11,25.575,2.666666667
9.4919E+11,25.45,5.354166667
9.49277E+11,25.4,8.2
9.49363E+11,25,9.383333333
9.4945E+11,25.65,1.666666667
9.49536E+11,25.975,0.533333333
9.49622E+11,26.8,0
9.49709E+11,26.475,0.004166667
9.49795E+11,26.45,14.57916667
9.49882E+11,26.6,12.60833333
9.49968E+11,26.45,5.85
9.50054E+11,26.225,9.920833333
9.50141E+11,25.925,2.195833333
9.50227E+11,26.55,9.775
9.50314E+11,26.6,0.004166667
9.504E+11,26.675,4.758333333
9.50486E+11,26.775,9.55
9.50573E+11,27.325,0.258333333
9.50659E+11,27.725,0
9.50746E+11,26.775,8.933333333
9.50832E+11,26.525,13.34166667
9.50918E+11,26.1,27.83333333
9.51005E+11,26.1,4.358333333
9.51091E+11,25.85,12.98333333
9.51178E+11,25.625,32
9.51264E+11,25.775,6.733333333
9.5135E+11,25.25,8.820833333
9.51437E+11,25.275,2.808333333
9.51523E+11,26.7,1.408333333
9.5161E+11,26.3,10.3875
9.51696E+11,26.55,4.608333333
9.51782E+11,27.525,0
9.51869E+11,27.475,2.245833333
9.51955E+11,28.05,0.725
9.52042E+11,28,0.383333333
9.52128E+11,28.05,0
9.52214E+11,28,0
9.52301E+11,28.075,0.070833333
9.52387E+11,28.35,0
9.52474E+11,28.85,0
9.5256E+11,27.925,0.441666667
9.52646E+11,28.4,0
9.52733E+11,27.3,2.220833333
9.52819E+11,25.625,2.820833333
9.52906E+11,27.725,6.047826087
9.52992E+11,26.725,6.830434783
9.53078E+11,26.075,18.07826087
9.53165E+11,26.775,19.63478261
9.53251E+11,26.5,25.85
9.53338E+11,26.025,8.8
9.53424E+11,26.55,31.70869565
9.5351E+11,26.325,1.813043478
9.53597E+11,26.5,2.630434783
9.53683E+11,25.625,1.273913043
9.5377E+11,27.4,10.13913043
9.53856E+11,26.625,10.19130435
9.53942E+11,27,15.57391304
9.54029E+11,25.85,14.64782609
9.54115E+11,26.4,1.639130435
9.54202E+11,26.075,67.66521739
9.54288E+11,25.95,8.02173913
9.54374E+11,26.325,16.00869565
9.54461E+11,26.6,0.017391304
9.54547E+11,26.825,11.92916667
9.54634E+11,27.35,33.02916667
9.5472E+11,27.875,12.5625
9.54806E+11,26.775,3.595652174
9.54893E+11,27.025,5.495652174
9.54979E+11,26.225,25.45217391
9.55066E+11,27.975,3.952173913
9.55152E+11,26.475,7.204347826
9.55238E+11,26.75,17.58695652
9.55325E+11,26.025,25.67826087
9.55411E+11,26.675,0.656521739
9.55498E+11,28.125,0.004347826
9.55584E+11,28.95,1.182608696
