,dengue
2000-01-03,17
2000-01-10,10
2000-01-17,15
2000-01-24,15
2000-01-31,13
2000-02-07,19
2000-02-14,5
2000-02-21,16
2000-02-28,14
2000-03-06,11
2000-03-13,3
2000-03-20,12
2000-03-27,6
2000-04-03,4
2000-04-10,8
2000-04-17,8
2000-04-24,12
2000-05-01,11
2000-05-08,7
2000-05-15,13
2000-05-22,7
2000-05-29,9
2000-06-05,14
2000-06-12,10
2000-06-19,11
2000-06-26,21
2000-07-03,13
2000-07-10,12
2000-07-17,13
2000-07-24,17
2000-07-31,24
2000-08-07,11
2000-08-14,22
2000-08-21,20
2000-08-28,10
2000-09-04,11
2000-09-11,7
2000-09-18,27
2000-09-25,18
2000-10-02,14
2000-10-09,14
2000-10-16,11
2000-10-23,9
2000-10-30,14
2000-11-06,11
2000-11-13,15
2000-11-20,19
2000-11-27,9
2000-12-04,8
2000-12-11,13
2000-12-18,22
2000-12-25,18
2001-01-01,11
2001-01-08,22
2001-01-15,24
2001-01-22,15
2001-01-29,26
2001-02-05,16
2001-02-12,23
2001-02-19,33
2001-02-26,30
2001-03-05,29
2001-03-12,47
2001-03-19,38
2001-03-26,29
2001-04-02,30
2001-04-09,15
2001-04-16,39
2001-04-23,33
2001-04-30,37
2001-05-07,40
2001-05-14,42
2001-05-21,65
2001-05-28,40
2001-06-04,40
2001-06-11,36
2001-06-18,77
2001-06-25,55
2001-07-02,126
2001-07-09,69
2001-07-16,79
2001-07-23,78
2001-07-30,90
2001-08-06,76
2001-08-13,100
2001-08-20,64
2001-08-27,63
2001-09-03,86
2001-09-10,83
2001-09-17,55
2001-09-24,52
2001-10-01,51
2001-10-08,51
2001-10-15,35
2001-10-22,32
2001-10-29,35
2001-11-05,37
2001-11-12,32
2001-11-19,41
2001-11-26,26
2001-12-03,41
2001-12-10,35
2001-12-17,26
2001-12-24,17
2002-01-07,20
2002-01-14,23
2002-01-21,23
2002-01-28,19
2002-02-04,20
2002-02-11,18
2002-02-18,12
2002-02-25,27
2002-03-04,19
2002-03-11,12
2002-03-18,32
2002-03-25,17
2002-04-01,25
2002-04-08,41
2002-04-15,40
2002-04-22,33
2002-04-29,41
2002-05-06,45
2002-05-13,64
2002-05-20,58
2002-05-27,79
2002-06-03,55
2002-06-10,51
2002-06-17,60
2002-06-24,63
2002-07-01,54
2002-07-08,91
2002-07-15,105
2002-07-22,113
2002-07-29,115
2002-08-05,136
2002-08-12,83
2002-08-19,154
2002-08-26,147
2002-09-02,156
2002-09-09,144
2002-09-16,159
2002-09-23,139
2002-09-30,129
2002-10-07,124
2002-10-14,141
2002-10-21,121
2002-10-28,110
2002-11-04,101
2002-11-11,95
2002-11-18,99
2002-11-25,96
2002-12-02,96
2002-12-09,72
2002-12-16,87
2002-12-23,115
2002-12-30,64
2003-01-06,68
2003-01-13,104
2003-01-20,97
2003-01-27,86
2003-02-03,89
2003-02-10,64
2003-02-17,89
2003-02-24,89
2003-03-03,100
2003-03-10,62
2003-03-17,93
2003-03-24,86
2003-03-31,65
2003-04-07,98
2003-04-14,65
2003-04-21,55
2003-04-28,76
2003-05-05,38
2003-05-12,81
2003-05-19,96
2003-05-26,127
2003-06-02,189
2003-06-09,258
2003-06-16,165
2003-06-23,165
2003-06-30,131
2003-07-07,144
2003-07-14,128
2003-07-21,78
2003-07-28,75
2003-08-04,62
2003-08-11,63
2003-08-18,64
2003-08-25,83
2003-09-01,93
2003-09-08,51
2003-09-15,79
2003-09-22,61
2003-09-29,78
2003-10-06,67
2003-10-13,75
2003-10-20,67
2003-10-27,74
2003-11-03,98
2003-11-10,100
2003-11-17,94
2003-11-24,90
2003-12-01,60
2003-12-08,67
2003-12-15,95
2003-12-22,83
2003-12-29,71
2004-01-05,53
2004-01-12,81
2004-01-19,87
2004-01-26,57
2004-02-02,81
2004-02-09,70
2004-02-16,63
2004-02-23,62
2004-03-01,56
2004-03-08,67
2004-03-15,58
2004-03-22,36
2004-03-29,43
2004-04-05,42
2004-04-12,38
2004-04-19,99
2004-04-26,83
2004-05-03,90
2004-05-10,139
2004-05-17,119
2004-05-24,93
2004-05-31,129
2004-06-07,149
2004-06-14,135
2004-06-21,156
2004-06-28,163
2004-07-05,163
2004-07-12,191
2004-07-19,220
2004-07-26,222
2004-08-02,221
2004-08-09,311
2004-08-16,258
2004-08-23,281
2004-08-30,332
2004-09-06,276
2004-09-13,314
2004-09-20,263
2004-09-27,325
2004-10-04,302
2004-10-11,244
2004-10-18,340
2004-10-25,314
2004-11-01,260
2004-11-08,258
2004-11-15,192
2004-11-22,263
2004-11-29,316
2004-12-06,300
2004-12-13,305
2004-12-20,329
2004-12-27,290
2005-01-03,243
2005-01-03,317
2005-01-10,298
2005-01-17,217
2005-01-24,272
2005-01-31,282
2005-02-07,198
2005-02-14,317
2005-02-21,237
2005-02-28,156
2005-03-07,158
2005-03-14,103
2005-03-21,100
2005-03-28,138
2005-04-04,125
2005-04-11,118
2005-04-18,139
2005-04-25,118
2005-05-02,137
2005-05-09,151
2005-05-16,160
2005-05-23,163
2005-05-30,139
2005-06-06,212
2005-06-13,259
2005-06-20,318
2005-06-27,389
2005-07-04,361
2005-07-11,362
2005-07-18,408
2005-07-25,353
2005-08-01,338
2005-08-08,307
2005-08-15,414
2005-08-22,493
2005-08-29,546
2005-09-05,690
2005-09-12,697
2005-09-19,714
2005-09-26,541
2005-10-03,472
2005-10-10,387
2005-10-17,358
2005-10-24,331
2005-10-31,222
2005-11-07,175
2005-11-14,140
2005-11-21,145
